evid lon[deg] lat[deg] depth[km] mag[ML]
15193065 -115.428 32.758 10.21 1.8
15193777 -115.424 32.745 9.09 1.4
37090596 -115.429 32.771 10.35 0.9
15222697 -115.428 32.759 9.82 1.5
15224689 -115.500 32.755 10.21 2.9
15224945 -115.500 32.755 10.12 1.7
15229137 -115.536 32.790 10.59 1.2
15235545 -115.426 32.753 10.69 2.6
15236865 -115.427 32.755 10.66 1.8
15239569 -115.450 32.794 9.65 1.7
15241289 -115.578 32.793 8.02 1.9
15241745 -115.424 32.752 10.18 1.8
15241761 -115.424 32.751 10.34 1.8
11207530 -115.467 32.818 9.68 1.7
11207538 -115.467 32.817 9.37 2.1
37104043 -115.468 32.819 9.54 2.1
37104051 -115.466 32.816 9.23 2.0
11207546 -115.467 32.818 9.41 2.8
11207554 -115.468 32.819 9.47 2.0
11207626 -115.417 32.739 10.56 1.6
15253849 -115.410 32.732 10.94 1.8
15256737 -115.429 32.751 8.55 1.9
15264313 -115.540 32.792 11.16 1.7
15264329 -115.541 32.790 10.52 1.8
15264337 -115.541 32.790 10.60 1.7
15264345 -115.540 32.789 10.68 3.6
15264369 -115.540 32.790 10.99 1.7
15264385 -115.544 32.793 10.84 1.5
15264393 -115.548 32.797 10.78 1.8
15268753 -115.422 32.748 10.26 1.5
15270785 -115.485 32.745 8.74 1.6
15274705 -115.490 32.753 10.23 1.9
15279529 -115.451 32.783 7.96 1.6
37106300 -115.432 32.763 9.75 1.6
15280993 -115.466 32.812 9.58 1.2
11243106 -115.602 32.838 10.76 1.6
11243114 -115.602 32.838 10.75 1.3
11246698 -115.421 32.753 10.98 1.8
11249498 -115.459 32.813 9.54 1.7
11249514 -115.459 32.814 9.53 2.3
15295353 -115.539 32.787 10.73 1.6
15295633 -115.471 32.817 9.52 1.2
15309817 -115.437 32.768 9.38 1.5
15309833 -115.437 32.769 9.29 2.2
37110236 -115.447 32.787 9.84 1.1
11279450 -115.607 32.838 10.33 1.5
11279602 -115.607 32.838 10.33 2.0
11281282 -115.572 32.803 11.46 1.7
15332993 -115.442 32.772 9.78 1.9
15333001 -115.442 32.772 9.90 1.6
15333009 -115.442 32.772 9.80 2.3
15333881 -115.438 32.730 7.85 1.3
15334345 -115.621 32.747 11.56 1.6
15335777 -115.470 32.815 8.16 1.6
15337769 -115.428 32.762 10.92 1.6
15341249 -115.470 32.816 9.36 1.4
15346089 -115.568 32.802 11.65 1.3
11322338 -115.437 32.768 9.58 1.6
11322354 -115.437 32.768 9.54 1.6
11325978 -115.425 32.750 11.00 1.5
11329850 -115.425 32.751 10.88 1.8
11331186 -115.424 32.750 10.79 1.6
11333898 -115.438 32.778 9.95 1.4
11338898 -115.525 32.783 11.30 2.4
11338914 -115.524 32.782 11.41 1.4
11339122 -115.526 32.783 11.11 1.6
11341994 -115.538 32.783 10.22 1.4
15394937 -115.424 32.750 10.96 1.9
15395081 -115.446 32.782 8.33 1.3
15396769 -115.443 32.774 9.32 1.6
15398921 -115.551 32.720 12.96 1.3
11367610 -115.420 32.756 10.51 1.7
11376922 -115.385 32.692 11.69 1.9
11389146 -115.467 32.824 8.65 1.6
11389154 -115.467 32.824 8.52 2.0
11389162 -115.470 32.834 8.53 1.3
11390674 -115.568 32.802 11.66 1.2
11397386 -115.538 32.784 10.26 1.6
15442353 -115.499 32.750 9.51 2.8
15442361 -115.500 32.751 9.70 1.7
15442369 -115.499 32.749 9.45 1.5
15442401 -115.499 32.749 9.46 2.1
15442409 -115.499 32.749 9.51 2.2
15442425 -115.485 32.726 10.14 1.7
15442441 -115.485 32.726 10.21 1.5
15442449 -115.485 32.726 10.27 1.4
15442457 -115.485 32.726 10.29 1.6
15442465 -115.485 32.726 10.29 1.4
11410098 -115.582 32.822 10.89 1.8
11410386 -115.583 32.822 10.82 1.4
11412498 -115.455 32.806 8.70 1.7
11422970 -115.540 32.786 10.29 1.6
15466153 -115.546 32.794 10.67 1.5
15466161 -115.546 32.794 10.60 1.7
15467425 -115.466 32.811 9.05 1.8
15467433 -115.467 32.811 9.05 1.2
15467441 -115.466 32.810 9.24 1.5
15468017 -115.425 32.757 10.69 1.7
15472505 -115.446 32.789 9.14 1.8
15472521 -115.447 32.790 9.09 1.9
15472529 -115.446 32.789 9.34 1.6
15472537 -115.446 32.789 9.24 2.0
15472545 -115.446 32.788 9.31 1.8
15472553 -115.446 32.789 9.36 2.5
15472921 -115.443 32.784 9.18 1.6
37177021 -115.444 32.785 9.09 1.4
15474729 -115.601 32.835 10.46 1.9
15480209 -115.421 32.745 10.92 1.6
15481553 -115.532 32.703 7.23 1.8
15482785 -115.531 32.704 6.88 1.6
15485129 -115.424 32.749 11.12 1.6
37211792 -115.470 32.812 8.42 1.7
37214272 -115.526 32.700 5.22 1.8
37215568 -115.450 32.801 9.25 1.5
15500385 -115.446 32.785 10.32 2.1
15511465 -115.462 32.811 8.70 2.5
15511481 -115.465 32.816 9.06 2.0
15511497 -115.465 32.816 9.17 1.7
15511489 -115.464 32.815 9.09 2.6
15511585 -115.462 32.810 9.03 2.4
37236080 -115.476 32.744 9.48 1.5
37236152 -115.475 32.742 9.46 1.8
37236208 -115.442 32.775 8.89 2.0
37236216 -115.442 32.774 8.93 1.9
37236328 -115.476 32.744 9.58 1.6
37236528 -115.452 32.801 8.64 1.2
37236536 -115.453 32.801 8.71 1.7
37127060 -115.477 32.742 8.76 0.9
37237224 -115.472 32.741 9.34 1.6
15519265 -115.595 32.828 10.44 1.9
15520161 -115.455 32.800 9.09 1.8
15525385 -115.601 32.827 10.02 1.3
15525817 -115.590 32.824 10.44 1.0
37248656 -115.542 32.794 10.97 1.5
37249256 -115.503 32.754 10.13 1.7
15530337 -115.440 32.771 9.49 1.1
37206381 -115.440 32.771 9.46 1.0
15535729 -115.444 32.777 9.36 1.5
15535985 -115.444 32.778 9.35 1.8
15536001 -115.444 32.777 9.30 1.3
15536049 -115.443 32.774 9.48 2.3
15536089 -115.444 32.777 9.31 2.0
15536769 -115.597 32.826 10.45 1.3
15536785 -115.597 32.826 10.45 1.2
37259648 -115.438 32.779 9.08 1.4
37208861 -115.438 32.779 9.12 1.2
37259960 -115.452 32.790 9.11 1.1
37262864 -115.430 32.766 10.22 1.7
37263360 -115.431 32.767 10.07 1.7
37263368 -115.431 32.768 10.04 1.9
37263616 -115.431 32.769 9.78 2.5
37263640 -115.432 32.769 10.03 2.5
37263648 -115.433 32.770 10.04 1.7
37263664 -115.435 32.773 9.90 1.6
37263688 -115.434 32.771 9.81 1.1
37263720 -115.434 32.772 9.77 1.8
37263752 -115.435 32.773 9.74 1.4
37264320 -115.432 32.769 9.90 1.1
37264616 -115.443 32.775 9.27 1.3
37127356 -115.443 32.774 9.18 1.6
37266088 -115.514 32.761 9.57 1.2
37268248 -115.467 32.823 9.34 1.0
37268280 -115.466 32.823 9.34 1.4
37268928 -115.559 32.807 10.96 1.2
37268952 -115.429 32.757 10.63 1.4
37043671 -115.521 32.769 9.84 1.3
37043679 -115.521 32.770 9.86 1.5
37047935 -115.413 32.731 11.00 1.8
37283080 -115.570 32.801 11.55 1.7
37283096 -115.571 32.802 11.57 1.0
37283272 -115.573 32.803 11.51 1.4
37283336 -115.572 32.804 11.63 1.4
37284496 -115.404 32.724 11.02 2.2
37284536 -115.403 32.723 11.04 1.6
37285272 -115.463 32.810 7.77 1.9
37286784 -115.584 32.825 11.11 2.0
37063031 -115.427 32.753 10.87 1.3
37065831 -115.438 32.766 7.34 1.5
37068087 -115.434 32.769 8.92 1.3
37297600 -115.605 32.836 10.33 1.1
37299000 -115.420 32.751 11.02 1.7
37299744 -115.591 32.828 10.52 1.5
37300888 -115.464 32.807 9.19 1.1
37303048 -115.576 32.816 11.39 1.7
37233229 -115.574 32.806 11.28 1.6
37303880 -115.464 32.818 9.02 1.4
37306760 -115.424 32.751 10.24 1.9
37308784 -115.438 32.769 8.50 1.7
37308912 -115.435 32.763 8.62 1.1
37309496 -115.452 32.797 9.23 1.6
37309520 -115.452 32.796 9.22 1.9
37309696 -115.451 32.796 8.85 1.6
37309704 -115.451 32.796 9.02 1.2
37309720 -115.452 32.797 8.94 1.4
37309728 -115.452 32.797 8.87 1.6
37234181 -115.452 32.797 8.93 1.6
37309736 -115.453 32.798 8.90 1.7
37309744 -115.453 32.798 9.05 1.8
37309760 -115.451 32.795 9.07 1.0
37309768 -115.451 32.796 9.29 3.2
37309776 -115.454 32.799 8.83 2.2
37309784 -115.454 32.799 9.07 2.1
37309800 -115.450 32.794 9.03 2.4
37310040 -115.455 32.801 9.20 1.7
